dataset_id,project,lambda_cgsreg,policy,episode,seed,score,agent_score,opponent_score,length,terminal,trunc
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,1,0,-20.0,1.0,21.0,1334,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,2,1,-15.0,6.0,21.0,2237,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,3,2,-19.0,2.0,21.0,1675,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,4,3,-17.0,4.0,21.0,2519,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,5,4,-21.0,0.0,21.0,1842,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,6,5,-19.0,2.0,21.0,1799,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,7,6,-20.0,1.0,21.0,1823,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,8,7,-19.0,2.0,21.0,1913,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,9,8,-21.0,0.0,21.0,2120,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,10,9,-19.0,2.0,21.0,2640,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,11,10,-19.0,2.0,21.0,1733,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,12,11,-10.0,11.0,21.0,1997,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,13,12,-18.0,3.0,21.0,2014,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,14,13,-20.0,1.0,21.0,2242,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,15,14,-19.0,2.0,21.0,1499,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,16,15,-18.0,3.0,21.0,1650,True,
oc_storm_replay,DreamerV3,0,dreamer_oc_storm_replay_w0,17,16,-18.0,3.0,21.0,2447,True,
